entityId,parentId,name,coordinates
29475085,205351567,Puerto Rico,"{'latitude': 18.2181427864, 'longitude': -66.4557198169}"
29475086,205351567,Bermuda,"{'latitude': 32.3117650658, 'longitude': -64.7723991192}"
29475087,205351567,Anguilla,"{'latitude': 18.2271339749, 'longitude': -63.0737127879}"
29475089,205351567,Cayman Islands,"{'latitude': 19.4442825652, 'longitude': -80.8430320863}"
29475092,205351567,Turks and Caicos Islands,"{'latitude': 21.7094295724, 'longitude': -71.7792410804}"
29475094,27563221,Gibraltar,"{'latitude': 36.1354865793, 'longitude': -5.3509095852}"
29475095,205351567,Montserrat,"{'latitude': 16.7407559257, 'longitude': -62.1896040151}"
29475098,27563223,American Samoa,"{'latitude': -14.2416708477, 'longitude': -170.3192456528}"
29475101,27563223,Cook Islands,"{'latitude': -14.7405912985, 'longitude': -159.5902593645}"
29475102,27563221,Croatia,"{'latitude': 44.9569774011, 'longitude': 16.3134922106}"
29475137,27563222,Cocos (Keeling) Islands,"{'latitude': -12.1410702313, 'longitude': 96.8677588401}"
29475139,27563222,Christmas Island,"{'latitude': -10.4857011548, 'longitude': 105.6299551833}"
29475143,27563221,Faroe Islands,"{'latitude': 62.0648238039, 'longitude': -6.8725264145}"
29475144,205351568,French Guiana,"{'latitude': 3.9358173519, 'longitude': -53.2263580832}"
29475145,27563221,Guernsey,"{'latitude': 49.4971457639, 'longitude': -2.4764799107}"
29475146,205351567,Greenland,"{'latitude': 74.6710435374, 'longitude': -41.3139154398}"
29475147,205351567,Guadeloupe,"{'latitude': 16.2129140112, 'longitude': -61.5308281404}"
29475148,27563223,Guam,"{'latitude': 13.4491097106, 'longitude': 144.7746765833}"
29475151,27563221,Isle of Man,"{'latitude': 54.224890409332765, 'longitude': -4.5404334302642395}"
29475153,27563221,Jersey,"{'latitude': 49.2116285112, 'longitude': -2.1362673839}"
29475156,27563223,Marshall Islands,"{'latitude': 8.5805229927, 'longitude': 168.8623975888}"
29475157,27563223,Northern Mariana Islands,"{'latitude': 16.0191011597, 'longitude': 145.6080944412}"
29475159,27563223,New Caledonia,"{'latitude': -21.292760972, 'longitude': 165.720713197}"
29475160,27563223,Norfolk Island,"{'latitude': -29.0547523718, 'longitude': 167.9530783262}"
29475161,27563223,French Polynesia,"{'latitude': -16.4478585552, 'longitude': -144.4737107781}"
29475164,27563223,Palau,"{'latitude': 7.3476757669, 'longitude': 134.4497758934}"
29475176,27563220,Rwanda,"{'latitude': -2.0004886671, 'longitude': 29.9234708086}"
29475180,27563220,Somalia,"{'latitude': 6.0757933452, 'longitude': 45.8766712407}"
29475186,27563222,Iraq,"{'latitude': 32.999688191, 'longitude': 43.7551667592}"
